"","year","country","count","code"
"1",2012,"USA",58,"USA"
"2",2012,"United Kingdom",8,"GBR"
"3",2012,"France",5,"FRA"
"4",2012,"Japan",5,"JPN"
"5",2012,"Israel",4,"ISR"
"6",2012,"Switzerland",4,"CHE"
"7",2012,"Canada",3,"CAN"
"8",2012,"Germany",3,"DEU"
"9",2012,"Australia",2,"AUS"
"10",2012,"Netherlands",2,"NLD"
"11",2012,"Denmark",1,"DNK"
"12",2012,"Finland",1,"FIN"
"13",2012,"Italy",1,"ITA"
"14",2012,"Norway",1,"NOR"
"15",2012,"South Korea",1,"KOR"
"16",2012,"Sweden",1,"SWE"
"17",2013,"USA",57,"USA"
"18",2013,"United Kingdom",7,"GBR"
"19",2013,"Japan",6,"JPN"
"20",2013,"France",5,"FRA"
"21",2013,"Canada",4,"CAN"
"22",2013,"Israel",4,"ISR"
"23",2013,"Switzerland",4,"CHE"
"24",2013,"Australia",2,"AUS"
"25",2013,"Germany",2,"DEU"
"26",2013,"Denmark",1,"DNK"
"27",2013,"Finland",1,"FIN"
"28",2013,"Italy",1,"ITA"
"29",2013,"Netherlands",1,"NLD"
"30",2013,"Norway",1,"NOR"
"31",2013,"Russia",1,"RUS"
"32",2013,"Singapore",1,"SGP"
"33",2013,"South Korea",1,"KOR"
"34",2013,"Sweden",1,"SWE"
"35",2014,"USA",229,"USA"
"36",2014,"China",84,"CHN"
"37",2014,"Japan",74,"JPN"
"38",2014,"United Kingdom",64,"GBR"
"39",2014,"Germany",55,"DEU"
"40",2014,"France",50,"FRA"
"41",2014,"Italy",47,"ITA"
"42",2014,"Spain",41,"ESP"
"43",2014,"South Korea",34,"KOR"
"44",2014,"Canada",32,"CAN"
"45",2014,"Australia",27,"AUS"
"46",2014,"Taiwan",25,"TWN"
"47",2014,"Brazil",18,"BRA"
"48",2014,"India",15,"IND"
"49",2014,"Netherlands",13,"NLD"
"50",2014,"Austria",12,"AUT"
"51",2014,"Sweden",11,"SWE"
"52",2014,"Belgium",10,"BEL"
"53",2014,"Turkey",10,"TUR"
"54",2014,"Finland",9,"FIN"
"55",2014,"Poland",9,"POL"
"56",2014,"Switzerland",9,"CHE"
"57",2014,"Iran",8,"IRN"
"58",2014,"Ireland",8,"IRL"
"59",2014,"Greece",7,"GRC"
"60",2014,"Israel",7,"ISR"
"61",2014,"Portugal",7,"PRT"
"62",2014,"Hong Kong",6,"HKG"
"63",2014,"Hungary",6,"HUN"
"64",2014,"New Zealand",6,"NZL"
"65",2014,"Czech Republic",5,"CZE"
"66",2014,"Denmark",5,"DNK"
"67",2014,"Norway",5,"NOR"
"68",2014,"South Africa",5,"ZAF"
"69",2014,"Argentina",4,"ARG"
"70",2014,"Chile",4,"CHL"
"71",2014,"Egypt",4,"EGY"
"72",2014,"Saudi Arabia",4,"SAU"
"73",2014,"Malaysia",3,"MYS"
"74",2014,"Russia",3,"RUS"
"75",2014,"Thailand",3,"THA"
"76",2014,"Colombia",2,"COL"
"77",2014,"Mexico",2,"MEX"
"78",2014,"Singapore",2,"SGP"
"79",2014,"Slovenia",2,"SVN"
"80",2014,"Bulgaria",1,"BGR"
"81",2014,"Croatia",1,"HRV"
"82",2014,"Cyprus",1,"CYP"
"83",2014,"Estonia",1,"EST"
"84",2014,"Iceland",1,"ISL"
"85",2014,"Lebanon",1,"LBN"
"86",2014,"Lithuania",1,"LTU"
"87",2014,"Puerto Rico",1,"PRI"
"88",2014,"Romania",1,"ROU"
"89",2014,"Serbia",1,"SRB"
"90",2014,"Slovak Republic",1,"SVK"
"91",2014,"Uganda",1,"UGA"
"92",2014,"United Arab Emirates",1,"ARE"
"93",2014,"Uruguay",1,"URY"
"94",2015,"USA",229,"USA"
"95",2015,"China",83,"CHN"
"96",2015,"Japan",74,"JPN"
"97",2015,"United Kingdom",65,"GBR"
"98",2015,"Germany",55,"DEU"
"99",2015,"France",49,"FRA"
"100",2015,"Italy",47,"ITA"
"101",2015,"Spain",40,"ESP"
"102",2015,"South Korea",36,"KOR"
"103",2015,"Canada",33,"CAN"
"104",2015,"Australia",27,"AUS"
"105",2015,"Taiwan",21,"TWN"
"106",2015,"Brazil",18,"BRA"
"107",2015,"India",16,"IND"
"108",2015,"Netherlands",13,"NLD"
"109",2015,"Austria",12,"AUT"
"110",2015,"Sweden",11,"SWE"
"111",2015,"Belgium",10,"BEL"
"112",2015,"Turkey",10,"TUR"
"113",2015,"Finland",9,"FIN"
"114",2015,"Poland",9,"POL"
"115",2015,"Switzerland",9,"CHE"
"116",2015,"Iran",8,"IRN"
"117",2015,"Ireland",8,"IRL"
"118",2015,"Greece",7,"GRC"
"119",2015,"Israel",7,"ISR"
"120",2015,"Portugal",7,"PRT"
"121",2015,"Hong Kong",6,"HKG"
"122",2015,"Hungary",6,"HUN"
"123",2015,"New Zealand",6,"NZL"
"124",2015,"Czech Republic",5,"CZE"
"125",2015,"Denmark",5,"DNK"
"126",2015,"Norway",5,"NOR"
"127",2015,"Russia",5,"RUS"
"128",2015,"South Africa",5,"ZAF"
"129",2015,"Chile",4,"CHL"
"130",2015,"Egypt",4,"EGY"
"131",2015,"Saudi Arabia",4,"SAU"
"132",2015,"Argentina",3,"ARG"
"133",2015,"Malaysia",3,"MYS"
"134",2015,"Thailand",3,"THA"
"135",2015,"Colombia",2,"COL"
"136",2015,"Mexico",2,"MEX"
"137",2015,"Romania",2,"ROU"
"138",2015,"Singapore",2,"SGP"
"139",2015,"Slovenia",2,"SVN"
"140",2015,"Bulgaria",1,"BGR"
"141",2015,"Croatia",1,"HRV"
"142",2015,"Cyprus",1,"CYP"
"143",2015,"Estonia",1,"EST"
"144",2015,"Iceland",1,"ISL"
"145",2015,"Lebanon",1,"LBN"
"146",2015,"Lithuania",1,"LTU"
"147",2015,"Puerto Rico",1,"PRI"
"148",2015,"Serbia",1,"SRB"
"149",2015,"Slovak Republic",1,"SVK"
"150",2015,"Uganda",1,"UGA"
"151",2015,"United Arab Emirates",1,"ARE"
"152",2015,"Uruguay",1,"URY"
