"university_name","country","lon","lat"
"Harvard University","United States of America",-71.1166286,42.3800977
"California Institute of Technology","United States of America",-118.125269,34.1376576
"Massachusetts Institute of Technology","United States of America",-71.0934,42.3591
"Stanford University","United States of America",-117.8389422,33.6518297
"Princeton University","United States of America",-74.6582332,40.3492867
"University of Cambridge","United Kingdom",0.1177882,52.2016671
"University of Oxford","United Kingdom",-117.8273389,33.6504742
"University of California, Berkeley","United States of America",-122.2447958,37.8805941
"Imperial College London","United Kingdom",-0.1732294,51.5177246
"Yale University","United States of America",-90.315018,38.6595336
"University of California, Los Angeles","United States of America",-118.4431764,34.0729489
"University of Chicago","United States of America",-87.5903039,41.7857416
"Johns Hopkins University","United States of America",-76.6003432,39.3272601
"Cornell University","United States of America",-117.8357356,33.6493781
"ETH Zurich – Swiss Federal Institute of Technology Zurich","Switzerland",8.541694,47.3768866
"University of Michigan","United States of America",-83.7382241,42.2780436
"University of Toronto","Canada",-79.4023299,43.666663
"Columbia University","United States of America",-73.9625727,40.8075355
"University of Pennsylvania","United States of America",-90.3149303,38.6736751
"Carnegie Mellon University","United States of America",-79.9441368,40.4432289
"University of Hong Kong","Hong Kong",114.1378391,22.2840507
"University College London","United Kingdom",-0.1335692,51.5247063
"University of Washington Seattle","United States of America",-122.3102213,47.6698745
"Duke University","United States of America",-117.166351,34.061706
"Northwestern University","United States of America",-87.6197349,41.8954119
"University of Tokyo","Japan",139.7442192,35.7198647
"Georgia Institute of Technology","United States of America",-84.3988806,33.7784626
"Pohang University of Science and Technology","South Korea",129.3434808,36.0190178
"University of California, Santa Barbara","United States of America",-117.8082831,33.6858022
"University of British Columbia","Canada",-123.2459939,49.2606052
"University of North Carolina at Chapel Hill","United States of America",-78.9399682,35.9681485
"University of California, San Diego","United States of America",-117.2340135,32.8800604
"University of Illinois at Urbana-Champaign","United States of America",-88.2271615,40.1019523
"National University of Singapore","Singapore",7.4674717,45.7399332
"McGill University","Canada",-113.9836203,46.8624181
"University of Melbourne","Australia",144.9610796,-37.8013221
"Peking University","China",116.3065393,39.9939231
"Washington University in St Louis","United States of America",-90.3308854,38.6846489
"École Polytechnique","France",-73.6130801,45.504661
"University of Edinburgh","United Kingdom",-3.1847238,55.9462691
"Hong Kong University of Science and Technology","Hong Kong",114.2715461,22.2917485
"École Normale Supérieure","France",-83.8126438,39.7473569
"Australian National University","Australia",142.389278,-10.890853
"Karolinska Institute","Sweden",18.0214528,59.3494376
"University of Göttingen","Germany",9.9374004,51.5408116
"University of Wisconsin","United States of America",-89.4052247,43.0765915
"Rice University","United States of America",-85.6613123,40.1136943
"École Polytechnique Fédérale de Lausanne","Switzerland",6.5676007,46.5189865
"University of California, Irvine","United States of America",-117.853022,33.664081
"University of Science and Technology of China","China",117.26217,31.838698
"Vanderbilt University","United States of America",-73.7199435,40.7694536
"University of Minnesota","United States of America",-93.199514,44.9743269
"Tufts University","United States of America",-71.120482,42.4036848
"University of California, Davis","United States of America",-121.7209826,38.5494919
"Brown University","United States of America",-83.9617862,43.514033
"University of Massachusetts","United States of America",-117.3324743,33.9866891
"Kyoto University","Japan",135.7680294,35.0116363
"Tsinghua University","China",116.3246671,39.9990443
"Boston University","United States of America",-0.1852592,51.4925846
"New York University","United States of America",-106.496973,31.777508
"Emory University","United States of America",-80.627626,28.0658079
"LMU Munich","Germany",11.582443,48.150942
"University of Notre Dame","United States of America",-86.2377772,41.6973401
"University of Pittsburgh","United States of America",-79.960835,40.4443533
"Case Western Reserve University","United States of America",-81.6083838,41.5043413
"Ohio State University","United States of America",-83.0227103,39.9993865
"University of Colorado Boulder","United States of America",-105.2627072,40.0071656
"University of Bristol","United Kingdom",-2.6259899,51.4771065
"University of California, Santa Cruz","United States of America",-117.3163115,33.981043
"Yeshiva University","United States of America",111.0957348,33.4442576
"University of Sydney","Australia",149.6612155,-30.4730963
"University of Virginia","United States of America",-93.1147395,44.9494426
"University of Adelaide","Australia",138.6090143,-34.9103022
"University of Southern California","United States of America",-117.2914463,34.1036186
"William & Mary","United States of America",-77.1485163,37.7372121
"Trinity College Dublin","Republic of Ireland",-6.2576899,53.3454782
"King’s College London","United Kingdom",-0.0890873,51.4699486
"Stony Brook University","United States of America",-73.1146681,40.9098883
"Korea Advanced Institute of Science and Technology (KAIST)","South Korea",127.3640249,36.3693921
"University of Sussex","United Kingdom",-0.7756403,50.8443366
"The University of Queensland","Australia",151.9287869,-27.6061106
"University of York","United Kingdom",-104.9603049,39.6818471
"Heidelberg University","Germany",-77.576748,43.1700966
"University of Utah","United States of America",-111.8884532,33.4249307
"Durham University","United Kingdom",-1.5782029,54.7649859
"London School of Economics and Political Science","United Kingdom",-0.1173766,51.5144077
"University of Manchester","United Kingdom",-90.3332427,38.6129798
"Royal Holloway, University of London","United Kingdom",-0.5630625,51.425673
"Lund University","Sweden",-87.7106499,41.9722799
"University of Southampton","United Kingdom",-1.3962068,50.9340275
"University of Zurich","Switzerland",8.5595886,47.3588302
"Wake Forest University","United States of America",-76.9359658,38.97546
"McMaster University","Canada",-81.0261039,34.0026819
"University College Dublin","Republic of Ireland",-6.2168851,53.305257
"George Washington University","United States of America",-77.0470916,38.8991756
"University of Arizona","United States of America",-82.4530718,28.067177
"University of Basel","Switzerland",36.2776484,33.5117629
"University of Maryland, College Park","United States of America",-76.9367935,38.9920364
"Dartmouth College","United States of America",-91.6514459,41.92479
"École Normale Supérieure de Lyon","France",4.829049,45.731469
"Technical University of Munich","Germany",19.2402603,52.0563394
"University of Helsinki","Finland",-99.1698567,19.3049111
"University of St Andrews","United Kingdom",-2.7930852,56.3412112
"Rensselaer Polytechnic Institute","United States of America",-73.6788026,42.730172
"Rutgers, the State University of New Jersey","United States of America",-74.1741891,40.7416983
"Purdue University","United States of America",-87.0541793,40.4533683
"National Tsing Hua University","Taiwan",120.99678,24.797079
"University of Cape Town","South Africa",18.415091,-33.925967
"Pennsylvania State University","United States of America",-77.8608888,40.8072337
"Seoul National University","South Korea",126.952712,37.48121
"Hong Kong Baptist University","Hong Kong",114.181587,22.337943
"Bilkent University","Turkey",32.7475962,39.8746147
"Tokyo Institute of Technology","Japan",139.6835302,35.6051229
"Eindhoven University of Technology","Netherlands",5.4907148,51.4486098
"National Taiwan University","Taiwan",121.518577,25.041471
"University of Hawai’i at Mānoa","United States of America",-157.818968,21.3
"University of California, Riverside","United States of America",-117.3280644,33.9737055
"University of Geneva","Switzerland",6.1011686,46.2247046
"KU Leuven","Belgium",4.7005176,50.8798438
"Nanjing University","China",118.7809448,32.0569463
"Queen Mary University of London","United Kingdom",-0.0591022,51.5169409
"Michigan State University","United States of America",-83.7333394,42.2752422
"Technical University of Denmark","Denmark",9.9785216,57.0149963
"Ghent University","Belgium",-123.1884423,49.2669654
"Lancaster University","United Kingdom",-2.7850105,54.0101034
"Leiden University","Netherlands",4.481357,52.1569487
"University of Alberta","Canada",-113.5490268,53.4943212
"University of Glasgow","United Kingdom",-4.288761,55.87151
"Stockholm University","Sweden",-81.5636262,41.4685433
"Osaka University","Japan",-99.1462101,19.2848865
"University of Victoria","Canada",-117.8567958,33.6304814
"Tohoku University","Japan",140.874074,38.253834
"University of Freiburg","Germany",7.8493126,48.0028354
"University of Iowa","United States of America",-117.3398859,33.9790905
"University of Bergen","Norway",-74.1913563,40.7424432
"University of Lausanne","Switzerland",6.6528621,46.5287859
"University of Sheffield","United Kingdom",-1.48406,53.38071
"University of Montreal","Canada",-90.350862,38.6816147
"VU University Amsterdam","Netherlands",4.8658302,52.3344753
"Pierre and Marie Curie University","France",2.357499,48.8471036
"University of Dundee","United Kingdom",-82.4316809,28.0619082
"University of Barcelona","Spain",-117.8207002,33.6766692
"Utrecht University","Netherlands",5.1214201,52.0907374
"Wageningen University and Research Center","Netherlands",5.6653948,51.9691868
"University of Auckland","New Zealand",174.7699782,-36.8490661
"University of Birmingham","United Kingdom",-1.93668,52.45126
"Alexandria University","Egypt",-117.8205127,33.6817395
"Uppsala University","Sweden",17.6300093,59.8509005
