"","year","country","count","code"
"1",2011,"United States of America",72,"USA"
"2",2011,"United Kingdom",29,"GBR"
"3",2011,"Germany",14,"DEU"
"4",2011,"Netherlands",10,"NLD"
"5",2011,"Canada",9,"CAN"
"6",2011,"Australia",7,"AUS"
"7",2011,"China",6,"CHN"
"8",2011,"Sweden",6,"SWE"
"9",2011,"Switzerland",6,"CHE"
"10",2011,"Japan",5,"JPN"
"11",2011,"France",4,"FRA"
"12",2011,"Hong Kong",4,"HKG"
"13",2011,"South Korea",4,"KOR"
"14",2011,"Taiwan",4,"TWN"
"15",2011,"Denmark",3,"DNK"
"16",2011,"Austria",2,"AUT"
"17",2011,"Belgium",2,"BEL"
"18",2011,"Republic of Ireland",2,"IRL"
"19",2011,"Singapore",2,"SGP"
"20",2011,"Spain",2,"ESP"
"21",2011,"Turkey",2,"TUR"
"22",2011,"Egypt",1,"EGY"
"23",2011,"Finland",1,"FIN"
"24",2011,"New Zealand",1,"NZL"
"25",2011,"Norway",1,"NOR"
"26",2011,"South Africa",1,"ZAF"
"27",2012,"United States of America",113,"USA"
"28",2012,"United Kingdom",52,"GBR"
"29",2012,"Germany",22,"DEU"
"30",2012,"Australia",21,"AUS"
"31",2012,"Canada",18,"CAN"
"32",2012,"Japan",16,"JPN"
"33",2012,"Italy",14,"ITA"
"34",2012,"Netherlands",13,"NLD"
"35",2012,"China",10,"CHN"
"36",2012,"Sweden",10,"SWE"
"37",2012,"France",8,"FRA"
"38",2012,"Spain",8,"ESP"
"39",2012,"Taiwan",8,"TWN"
"40",2012,"Belgium",7,"BEL"
"41",2012,"South Korea",7,"KOR"
"42",2012,"Switzerland",7,"CHE"
"43",2012,"Hong Kong",6,"HKG"
"44",2012,"New Zealand",6,"NZL"
"45",2012,"Austria",5,"AUT"
"46",2012,"Denmark",5,"DNK"
"47",2012,"Finland",5,"FIN"
"48",2012,"Republic of Ireland",5,"IRL"
"49",2012,"Israel",4,"ISR"
"50",2012,"Norway",4,"NOR"
"51",2012,"Portugal",4,"PRT"
"52",2012,"Turkey",4,"TUR"
"53",2012,"South Africa",3,"ZAF"
"54",2012,"Brazil",2,"BRA"
"55",2012,"Poland",2,"POL"
"56",2012,"Russian Federation",2,"RUS"
"57",2012,"Singapore",2,"SGP"
"58",2012,"Chile",1,"CHL"
"59",2012,"Czech Republic",1,"CZE"
"60",2012,"Egypt",1,"EGY"
"61",2012,"Estonia",1,"EST"
"62",2012,"Greece",1,"GRC"
"63",2012,"Iceland",1,"ISL"
"64",2012,"India",1,"IND"
"65",2012,"Iran",1,"IRN"
"66",2012,"Thailand",1,"THA"
"67",2013,"United States of America",111,"USA"
"68",2013,"United Kingdom",48,"GBR"
"69",2013,"Germany",25,"DEU"
"70",2013,"Australia",19,"AUS"
"71",2013,"Canada",19,"CAN"
"72",2013,"Italy",14,"ITA"
"73",2013,"Japan",13,"JPN"
"74",2013,"Netherlands",13,"NLD"
"75",2013,"France",12,"FRA"
"76",2013,"Sweden",10,"SWE"
"77",2013,"China",9,"CHN"
"78",2013,"Switzerland",8,"CHE"
"79",2013,"Belgium",7,"BEL"
"80",2013,"Spain",7,"ESP"
"81",2013,"Taiwan",7,"TWN"
"82",2013,"Austria",6,"AUT"
"83",2013,"Hong Kong",6,"HKG"
"84",2013,"New Zealand",6,"NZL"
"85",2013,"South Korea",6,"KOR"
"86",2013,"Denmark",5,"DNK"
"87",2013,"Finland",5,"FIN"
"88",2013,"Republic of Ireland",5,"IRL"
"89",2013,"Turkey",5,"TUR"
"90",2013,"Norway",4,"NOR"
"91",2013,"South Africa",4,"ZAF"
"92",2013,"India",3,"IND"
"93",2013,"Israel",3,"ISR"
"94",2013,"Portugal",3,"PRT"
"95",2013,"Brazil",2,"BRA"
"96",2013,"Poland",2,"POL"
"97",2013,"Russian Federation",2,"RUS"
"98",2013,"Singapore",2,"SGP"
"99",2013,"Colombia",1,"COL"
"100",2013,"Czech Republic",1,"CZE"
"101",2013,"Estonia",1,"EST"
"102",2013,"Greece",1,"GRC"
"103",2013,"Iceland",1,"ISL"
"104",2013,"Iran",1,"IRN"
"105",2013,"Mexico",1,"MEX"
"106",2013,"Saudi Arabia",1,"SAU"
"107",2013,"Thailand",1,"THA"
"108",2014,"United States of America",109,"USA"
"109",2014,"United Kingdom",49,"GBR"
"110",2014,"Germany",26,"DEU"
"111",2014,"Australia",19,"AUS"
"112",2014,"Canada",19,"CAN"
"113",2014,"Italy",15,"ITA"
"114",2014,"Netherlands",13,"NLD"
"115",2014,"France",11,"FRA"
"116",2014,"Japan",11,"JPN"
"117",2014,"China",10,"CHN"
"118",2014,"Sweden",10,"SWE"
"119",2014,"Spain",9,"ESP"
"120",2014,"Switzerland",8,"CHE"
"121",2014,"Taiwan",8,"TWN"
"122",2014,"Belgium",7,"BEL"
"123",2014,"South Korea",7,"KOR"
"124",2014,"Austria",6,"AUT"
"125",2014,"Hong Kong",6,"HKG"
"126",2014,"Denmark",5,"DNK"
"127",2014,"Finland",5,"FIN"
"128",2014,"India",5,"IND"
"129",2014,"New Zealand",5,"NZL"
"130",2014,"Republic of Ireland",5,"IRL"
"131",2014,"Turkey",5,"TUR"
"132",2014,"Norway",4,"NOR"
"133",2014,"Israel",3,"ISR"
"134",2014,"South Africa",3,"ZAF"
"135",2014,"Brazil",2,"BRA"
"136",2014,"Portugal",2,"PRT"
"137",2014,"Saudi Arabia",2,"SAU"
"138",2014,"Singapore",2,"SGP"
"139",2014,"Colombia",1,"COL"
"140",2014,"Czech Republic",1,"CZE"
"141",2014,"Estonia",1,"EST"
