"lon","lat","university_name"
-71.1166286,42.3800977,"Harvard University"
NA,NA,"California Institute of Technology"
-71.0934,42.3591,"Massachusetts Institute of Technology"
-117.8389422,33.6518297,"Stanford University"
-74.6582332,40.3492867,"Princeton University"
0.1177882,52.2016671,"University of Cambridge"
-117.8273389,33.6504742,"University of Oxford"
-122.2447958,37.8805941,"University of California, Berkeley"
-0.1732294,51.5177246,"Imperial College London"
-90.315018,38.6595336,"Yale University"
-118.4431764,34.0729489,"University of California, Los Angeles"
-87.5903039,41.7857416,"University of Chicago"
-76.6003432,39.3272601,"Johns Hopkins University"
-117.8357356,33.6493781,"Cornell University"
8.541694,47.3768866,"ETH Zurich – Swiss Federal Institute of Technology Zurich"
NA,NA,"University of Michigan"
-79.4023299,43.666663,"University of Toronto"
NA,NA,"Columbia University"
-90.3149303,38.6736751,"University of Pennsylvania"
-79.9441368,40.4432289,"Carnegie Mellon University"
114.1378391,22.2840507,"University of Hong Kong"
-0.1335692,51.5247063,"University College London"
-122.3102213,47.6698745,"University of Washington Seattle"
-117.166351,34.061706,"Duke University"
-87.6197349,41.8954119,"Northwestern University"
139.7442192,35.7198647,"University of Tokyo"
-84.3988806,33.7784626,"Georgia Institute of Technology"
129.3434808,36.0190178,"Pohang University of Science and Technology"
-117.8082831,33.6858022,"University of California, Santa Barbara"
NA,NA,"University of British Columbia"
-78.9399682,35.9681485,"University of North Carolina at Chapel Hill"
NA,NA,"University of California, San Diego"
NA,NA,"University of Illinois at Urbana-Champaign"
7.4674717,45.7399332,"National University of Singapore"
-113.9836203,46.8624181,"McGill University"
144.9610796,-37.8013221,"University of Melbourne"
116.3065393,39.9939231,"Peking University"
-90.3308854,38.6846489,"Washington University in St Louis"
-73.6130801,45.504661,"École Polytechnique"
-3.1847238,55.9462691,"University of Edinburgh"
114.2715461,22.2917485,"Hong Kong University of Science and Technology"
-83.8126438,39.7473569,"École Normale Supérieure"
142.389278,-10.890853,"Australian National University"
18.0214528,59.3494376,"Karolinska Institute"
NA,NA,"University of Göttingen"
-89.4052247,43.0765915,"University of Wisconsin"
-85.6613123,40.1136943,"Rice University"
6.5676007,46.5189865,"École Polytechnique Fédérale de Lausanne"
-117.853022,33.664081,"University of California, Irvine"
NA,NA,"University of Science and Technology of China"
-73.7199435,40.7694536,"Vanderbilt University"
-93.199514,44.9743269,"University of Minnesota"
-71.120482,42.4036848,"Tufts University"
-121.7209826,38.5494919,"University of California, Davis"
-83.9617862,43.514033,"Brown University"
-117.3324743,33.9866891,"University of Massachusetts"
135.7680294,35.0116363,"Kyoto University"
116.3246671,39.9990443,"Tsinghua University"
-0.1852592,51.4925846,"Boston University"
-106.496973,31.777508,"New York University"
-80.627626,28.0658079,"Emory University"
NA,NA,"LMU Munich"
-86.2377772,41.6973401,"University of Notre Dame"
NA,NA,"University of Pittsburgh"
NA,NA,"Case Western Reserve University"
-83.0227103,39.9993865,"Ohio State University"
-105.2627072,40.0071656,"University of Colorado Boulder"
-2.6259899,51.4771065,"University of Bristol"
-117.3163115,33.981043,"University of California, Santa Cruz"
111.0957348,33.4442576,"Yeshiva University"
149.6612155,-30.4730963,"University of Sydney"
-93.1147395,44.9494426,"University of Virginia"
138.6090143,-34.9103022,"University of Adelaide"
-117.2914463,34.1036186,"University of Southern California"
-77.1485163,37.7372121,"William & Mary"
-6.2576899,53.3454782,"Trinity College Dublin"
-0.0890873,51.4699486,"King’s College London"
-73.1146681,40.9098883,"Stony Brook University"
NA,NA,"Korea Advanced Institute of Science and Technology (KAIST)"
-0.7756403,50.8443366,"University of Sussex"
151.9287869,-27.6061106,"The University of Queensland"
-104.9603049,39.6818471,"University of York"
-77.576748,43.1700966,"Heidelberg University"
-111.8884532,33.4249307,"University of Utah"
NA,NA,"Durham University"
NA,NA,"London School of Economics and Political Science"
-90.3332427,38.6129798,"University of Manchester"
NA,NA,"Royal Holloway, University of London"
-87.7106499,41.9722799,"Lund University"
-1.3962068,50.9340275,"University of Southampton"
8.5595886,47.3588302,"University of Zurich"
-76.9359658,38.97546,"Wake Forest University"
-81.0261039,34.0026819,"McMaster University"
-6.2168851,53.305257,"University College Dublin"
-77.0470916,38.8991756,"George Washington University"
-82.4530718,28.067177,"University of Arizona"
36.2776484,33.5117629,"University of Basel"
-76.9367935,38.9920364,"University of Maryland, College Park"
-91.6514459,41.92479,"Dartmouth College"
4.829049,45.731469,"École Normale Supérieure de Lyon"
19.2402603,52.0563394,"Technical University of Munich"
-99.1698567,19.3049111,"University of Helsinki"
-2.7930852,56.3412112,"University of St Andrews"
NA,NA,"Rensselaer Polytechnic Institute"
-74.1741891,40.7416983,"Rutgers, the State University of New Jersey"
-87.0541793,40.4533683,"Purdue University"
120.99678,24.797079,"National Tsing Hua University"
18.415091,-33.925967,"University of Cape Town"
-77.8608888,40.8072337,"Pennsylvania State University"
126.952712,37.48121,"Seoul National University"
114.181587,22.337943,"Hong Kong Baptist University"
NA,NA,"Bilkent University"
NA,NA,"Tokyo Institute of Technology"
NA,NA,"Eindhoven University of Technology"
121.518577,25.041471,"National Taiwan University"
NA,NA,"University of Hawai’i at Mānoa"
NA,NA,"University of California, Riverside"
6.1011686,46.2247046,"University of Geneva"
4.7005176,50.8798438,"KU Leuven"
118.7809448,32.0569463,"Nanjing University"
-0.0591022,51.5169409,"Queen Mary University of London"
-83.7333394,42.2752422,"Michigan State University"
9.9785216,57.0149963,"Technical University of Denmark"
-123.1884423,49.2669654,"Ghent University"
-2.7850105,54.0101034,"Lancaster University"
4.481357,52.1569487,"Leiden University"
-113.5490268,53.4943212,"University of Alberta"
-4.288761,55.87151,"University of Glasgow"
-81.5636262,41.4685433,"Stockholm University"
-99.1462101,19.2848865,"Osaka University"
-117.8567958,33.6304814,"University of Victoria"
NA,NA,"Tohoku University"
7.8493126,48.0028354,"University of Freiburg"
-117.3398859,33.9790905,"University of Iowa"
-74.1913563,40.7424432,"University of Bergen"
6.6528621,46.5287859,"University of Lausanne"
-1.48406,53.38071,"University of Sheffield"
-90.350862,38.6816147,"University of Montreal"
4.8658302,52.3344753,"VU University Amsterdam"
NA,NA,"Pierre and Marie Curie University"
-82.4316809,28.0619082,"University of Dundee"
-117.8207002,33.6766692,"University of Barcelona"
5.1214201,52.0907374,"Utrecht University"
5.6653948,51.9691868,"Wageningen University and Research Center"
174.7699782,-36.8490661,"University of Auckland"
-1.93668,52.45126,"University of Birmingham"
-117.8205127,33.6817395,"Alexandria University"
NA,NA,"Uppsala University"
114.178928,22.302516,"Hong Kong Polytechnic University"
-82.4317193,28.0653457,"University of Aberdeen"
4.3570677,52.0115769,"Delft University of Technology"
-0.130217,51.5219285,"Birkbeck, University of London"
151.710005,-32.8871981,"Newcastle University"
151.710005,-32.8871981,"University of New South Wales"
NA,NA,"Pompeu Fabra University"
-86.5269373,39.1670467,"Indiana University"
-93.6396252,42.0277899,"Iowa State University"
-82.9000751,32.1656221,"Georgia Health Sciences University"
NA,NA,"Erasmus University Rotterdam"
-117.7759092,33.7105331,"University of Delaware"
-111.9339825,33.4205343,"Arizona State University"
-0.0147452,52.9733763,"Boston College"
120.265922,22.625005,"National Sun Yat-Sen University"
-77.0722585,38.9076089,"Georgetown University"
4.9470315,52.3561962,"University of Amsterdam"
NA,NA,"University of Liverpool"
12.1021324,55.695402,"Aarhus University"
-82.4315563,28.0637104,"University of Leeds"
9.9533548,49.7913044,"University of Würzburg"
6.5665018,53.2193835,"University of Groningen"
113.29947,23.103702,"Sun Yat-sen University"
8.6293081,50.1703746,"Goethe University Frankfurt"
NA,NA,"Bielefeld University"
-120.554501,34.865784,"Nanyang Technological University"
1.2406141,52.6184758,"University of East Anglia"
NA,NA,"University of Nottingham"
121.0990078,14.6064499,"University of Copenhagen"
13.5333041,52.4321218,"Humboldt University of Berlin"
145.1340508,-38.1532011,"Monash University"
121.1009535,14.6051887,"University of Bonn"
120.294197,22.925346,"National Chiao Tung University"
NA,NA,"RWTH Aachen University"
33.0307541,35.246756,"Middle East Technical University"
-117.8296666,33.6508563,"University of Exeter"
NA,NA,"University of Twente"
