"","university_name","lon","lat"
"1","University of British Columbia",-123.2459939,49.2606052
"2","University of Pittsburgh - Pittsburgh Campus",-79.960835,40.4443533
"3","Nagoya University",136.967573,35.153491
"4","Case Western Reserve University",-81.6083838,41.5043413
"5","Tohoku University",140.874074,38.253834
"6","University of Texas MD Anderson Cancer Center",-95.3969227,29.7071429
"7","University of Nottingham",-1.1951582,52.938636
"8","Mines ParisTech",2.339632,48.845585
"9","University of British Columbia",-123.2459939,49.2606052
"10","University of Pittsburgh - Pittsburgh Campus",-79.960835,40.4443533
"11","Keio University",139.7429376,35.6489643
"12","University of Texas MD Anderson Cancer Center",-95.3969227,29.7071429
"13","Lomonosov Moscow State University",37.5286695,55.7039349
"14","Nagoya University",136.967573,35.153491
"15","Tohoku University",140.874074,38.253834
"16","Keio University",139.7429376,35.6489643
"17","Waseda University",139.7208045,35.7092082
"18","Lomonosov Moscow State University",37.5286695,55.7039349
"19","University of Pittsburgh - Pittsburgh Campus",-79.960835,40.4443533
"20","University of British Columbia",-123.2459939,49.2606052
"21","Tohoku University",140.874074,38.253834
"22","Kyushu University",130.4250445,33.6266584
"23","Tokyo Institute of Technology",139.6835302,35.6051229
"24","Erasmus University Rotterdam",4.525585,51.91752
"25","Case Western Reserve University",-81.6083838,41.5043413
"26","University of Texas MD Anderson Cancer Center",-95.3969227,29.7071429
"27","Yonsei University",126.938572,37.565784
"28","Uppsala University",17.6300093,59.8509005
"29","Korea Advanced Institute of Science and Technology (KAIST)",127.3640249,36.3693921
"30","University of São Paulo",-46.7307891,-23.5613991
"31","Nagoya University",136.967573,35.153491
"32","Université libre de Bruxelles",4.3822222,50.8132068
"33","University of Nottingham",-1.1951582,52.938636
"34","Osaka City University",135.505417,34.5919232
"35","Indiana University-Purdue University Indianapolis",-86.176177,39.774162
"36","Mines ParisTech",2.339632,48.845585
"37","University of Göttingen",9.9374004,51.5408116
"38","University of Massachusetts Medical School",-71.7610714,42.2772479
"39","Complutense University of Madrid",-3.7285872,40.4478246
"40","University of Liverpool",-2.9655722,53.405936
"41","Karlsruhe Institute of Technology",8.4170303,49.0119199
"42","Joseph Fourier University",4.915197,44.91763
"43","University of California, Riverside",-117.3280644,33.9737055
"44","University of Tennessee, Knoxville",-83.9294564,35.9544013
"45","North Carolina State University",-78.6820946,35.7846633
"46","University of Oklahoma - Norman Campus",-97.4457137,35.2058936
"47","Dresden University of Technology",13.7289964,51.0292734
"48","RWTH Aachen University",6.0656869,50.7800778
"49","University of Texas Health Science Center at San Antonio",-98.5756525,29.5078202
"50","Rensselaer Polytechnic Institute",-73.6788026,42.730172
"51","Paul Sabatier University - Toulouse III",1.4688585,43.5603781
"52","Durham University",-1.5782029,54.7649859
"53","University of Science and Technology of China",117.26217,31.838698
"54","University of Naples Federico II",14.2578058,40.845492
"55","Norwegian University of Science and Technology",10.402077,63.419499
"56","Umeå University",20.3116101,63.8215945
"57","University of Porto",-8.6156998,41.1465479
"58","Technical University of Berlin",13.3269446,52.5125322
"59","University of Liège",5.559064,50.5830803
"60","University of Hull",-0.3673875,53.7714552
"61","University of Louisville",-85.7601557,38.2150452
"62","Vita-Salute San Raffaele University",9.26735,45.506867
"63","Yokohama National University",139.592022,35.4729252
"64","St George's, University of London",-0.1745034,51.4271937
"65","University of Navarra",-1.6582784,42.8024726
"66","San Diego State University",-117.0718893,32.7757217
"67","University of Southern Denmark",10.4280674,55.3706746
"68","Eindhoven University of Technology",5.4907148,51.4486098
"69","Ben-Gurion University of the Negev",34.801461,31.262218
"70","University of Eastern Finland",29.744203,62.603598
"71","Kyung Hee University",127.052544,37.5961951
"72","Saarland University",7.040975,49.2550284
"73","Chiba University",140.1024122,35.6262467
"74","University of Bari Aldo Moro",16.8684745,41.1205546
"75","Aalto University",24.827682,60.1866693
"76","Simon Fraser University",-122.9198833,49.2780937
"77","Chalmers University of Technology",11.9777584,57.6883684
"78","Xi'an Jiaotong University",108.98371,34.250575
"79","Chonnam National University",NA,NA
"80","Chonbuk National University",127.1293628,35.8468291
"81","Kumamoto University",130.7278725,32.8140382
"82","Catholic University of the Sacred Heart",9.1771785,45.4621325
"83","Technical University of Madrid",-3.7192798,40.4486372
"84","Nagasaki University",129.8646586,32.7861288
"85","Niigata University",138.942539,37.86701
"86","Pompeu Fabra University",2.1790535,41.3793687
"87","Sogang University",126.9407529,37.5513365
"88","Gyeongsang National University",128.098095,35.15404
"89","Swedish University of Agricultural Sciences",17.6628688,59.814947
"90","University of Delhi",77.1638282,28.5842523
"91","University of Arkansas for Medical Sciences",-92.3199689,34.748553
"92","University of Twente",6.8524128,52.2410326
"93","Pontifical Catholic University of Chile",-70.6407933,-33.4411279
"94","Yokohama City University",139.618239,35.33385
"95","University of Hawaii at Manoa",-157.818968,21.3
"96","Shinshu University",137.9789403,36.2500574
"97","Jagiellonian University",19.9341074,50.0609623
"98","Texas Tech University (TTU)",-101.8782822,33.5842591
"99","Juntendo University",139.7608345,35.7021299
"100","University of Canterbury",172.5839233,-43.5235375
"101","Bielefeld University",8.4963449,52.0354177
"102","City University London",-0.1025445,51.5278249
"103","Martin Luther University of Halle-Wittenberg",11.9695316,51.4861319
"104","Graduate University for Advanced Studies",139.608389,35.261095
"105","Dongguk University",127.0007751,37.5575367
"106","SUNY Downstate Medical Center",-73.945734,40.6552459
"107","University of the Basque Country",-2.673645,42.838485
"108","University of Nice Sophia Antipolis",7.2896737,43.7099458
"109","Nihon University",139.7636583,35.6975498
"110","Royal Holloway, University of London",-0.5630625,51.425673
"111","Nagoya City University",136.934405,35.138965
"112","University of Tromsø - The Arctic University of Norway",18.9712162,69.6798027
"113","University Lille 1: Sciences and Technologies",3.138063,50.609049
"114","National Polytechnic Institute of Toulouse",1.4544087,43.6020384
"115","Plymouth University",-4.1406465,50.3745284
"116","International School for Advanced Studies",13.7739595,45.6802986
"117","Ehime University",132.7715089,33.8502377
"118","University of Los Andes (Colombia)",-74.065012,4.602968
"119","Tokai University",139.6845412,35.6644464
"120","Semmelweis University",19.0673266,47.4873553
"121","Dankook University",127.1267503,37.3215984
"122","Queensland University of Technology",153.0284231,-27.477356
"123","Deakin University",145.1149452,-37.8477381
"124","Tilburg University",5.0419736,51.5631406
"125","Inha University",126.653116,37.449627
"126","Chungnam National University",127.3459548,36.3699872
"127","Griffith University",153.053674,-27.5536791
"128","Catholic University of Korea",127.0043275,37.5859218
"129","University of Patras",21.7871827,38.28657
"130","Missouri University of Science and Technology",-91.7755727,37.953451
"131","University of Portsmouth",-1.0935686,50.7951287
"132","State University of New York Upstate Medical University",-76.1396943,43.0425431
"133","Rovira i Virgili University",1.260497,41.1196609
