"university_name","lon","lat"
"California Institute of Technology",-118.125269,34.1376576
"University of Michigan",-83.7382241,42.2780436
"Columbia University",-73.9625727,40.8075355
"University of British Columbia",-123.2459939,49.2606052
"University of California, San Diego",-117.2340135,32.8800604
"University of Illinois at Urbana-Champaign",-88.2271615,40.1019523
"University of Göttingen",9.9374004,51.5408116
"University of Science and Technology of China",117.26217,31.838698
"LMU Munich",11.582443,48.150942
"University of Pittsburgh",-79.960835,40.4443533
"Case Western Reserve University",-81.6083838,41.5043413
"Korea Advanced Institute of Science and Technology (KAIST)",127.3640249,36.3693921
"Durham University",-1.5782029,54.7649859
"London School of Economics and Political Science",-0.1173766,51.5144077
"Royal Holloway, University of London",-0.5630625,51.425673
"Rensselaer Polytechnic Institute",-73.6788026,42.730172
"Bilkent University",32.7475962,39.8746147
"Tokyo Institute of Technology",139.6835302,35.6051229
"Eindhoven University of Technology",5.4907148,51.4486098
"University of Hawai’i at Mānoa",-157.818968,21.3
"University of California, Riverside",-117.3280644,33.9737055
"Tohoku University",140.874074,38.253834
"Pierre and Marie Curie University",2.357499,48.8471036
"Uppsala University",17.6300093,59.8509005
"Pompeu Fabra University",2.1790535,41.3793687
"Erasmus University Rotterdam",4.525585,51.91752
"University of Liverpool",-2.9655722,53.405936
"Bielefeld University",8.4963449,52.0354177
"University of Nottingham",-1.1951582,52.938636
"RWTH Aachen University",6.0656869,50.7800778
"University of Twente",6.8524128,52.2410326
"Karlsruhe Institute of Technology",8.4170303,49.0119199
"Yonsei University",126.938572,37.565784
"KTH Royal Institute of Technology",18.0706645,59.3498065
"Simon Fraser University",-122.9198833,49.2780937
"Swedish University of Agricultural Sciences",17.6628688,59.814947
"University of Rochester",-77.6260033,43.1305531
"University of São Paulo",-46.7307891,-23.5613991
"Nagoya University",136.967573,35.153491
"Technion Israel Institute of Technology",35.0231271,32.7767783
"Umeå University",20.3116101,63.8215945
"University of South Carolina",-81.0274276,33.996112
"Université Libre de Bruxelles",4.3822222,50.8132068
"Chalmers University of Technology",11.9777584,57.6883684
"University of Calgary",-114.1358007,51.0781599
"University of Hamburg",9.9846195,53.5665641
"University of Milan",9.1945843,45.4601435
"University of Milan-Bicocca",9.213452,45.518383
"University of Missouri",-92.3277375,38.9403808
"University of Padua",11.8774462,45.406766
"University of Trieste",13.7934477,45.658667
"Bangor University",-4.1299874,53.2295205
"Brunel University London",-0.4692108,51.5331581
"Johannes Kepler University of Linz",14.3219434,48.3375357
"Kyushu University",130.4250445,33.6266584
"Norwegian University of Science and Technology",10.402077,63.419499
"Queen’s University Belfast",-5.9340494,54.5844087
"Ruhr University Bochum",7.2616093,51.4456659
"Stellenbosch University",18.864447,-33.9328078
"Tilburg University",5.0419736,51.5631406
"TU Dresden",13.7289964,51.0292734
"University of Bath",-2.3272635,51.3781162
"University of Graz",15.4499126,47.0777872
"University of Kiel",10.1147022,54.3460549
"University of Southern Denmark",10.4280674,55.3706746
"University of Texas at Dallas",-96.7500993,32.9857619
"University of the Witwatersrand",28.0305044,-26.1930344
