"university_name","lon","lat","bar_count"
"Harvard University",-71.1166286,42.3800977,199
"California Institute of Technology",-118.125269,34.1376576,121
"Massachusetts Institute of Technology",-71.0934,42.3591,199
"Stanford University",-117.8389422,33.6518297,51
"Princeton University",-74.6582332,40.3492867,28
"University of Cambridge",0.1177882,52.2016671,161
"University of Oxford",-117.8273389,33.6504742,47
"University of California, Berkeley",-122.2447958,37.8805941,97
"Imperial College London",-0.1732294,51.5177246,196
"Yale University",-90.315018,38.6595336,121
"University of California, Los Angeles",-118.4431764,34.0729489,164
"University of Chicago",-87.5903039,41.7857416,58
"Johns Hopkins University",-76.6003432,39.3272601,200
"Cornell University",-117.8357356,33.6493781,50
"ETH Zurich – Swiss Federal Institute of Technology Zurich",8.541694,47.3768866,198
"University of Michigan",-83.7382241,42.2780436,91
"University of Toronto",-79.4023299,43.666663,200
"Columbia University",-73.9625727,40.8075355,199
"University of Pennsylvania",-90.3149303,38.6736751,81
"Carnegie Mellon University",-79.9441368,40.4432289,197
"University of Hong Kong",114.1378391,22.2840507,199
"University College London",-0.1335692,51.5247063,195
"University of Washington Seattle",-122.3102213,47.6698745,193
"Duke University",-117.166351,34.061706,26
"Northwestern University",-87.6197349,41.8954119,198
"University of Tokyo",139.7442192,35.7198647,198
"Georgia Institute of Technology",-84.3988806,33.7784626,196
"Pohang University of Science and Technology",129.3434808,36.0190178,34
"University of California, Santa Barbara",-117.8082831,33.6858022,63
"University of British Columbia",-123.2459939,49.2606052,20
"University of North Carolina at Chapel Hill",-78.9399682,35.9681485,65
"University of California, San Diego",-117.2340135,32.8800604,49
"University of Illinois at Urbana-Champaign",-88.2271615,40.1019523,78
"National University of Singapore",7.4674717,45.7399332,15
"McGill University",-113.9836203,46.8624181,51
"University of Melbourne",144.9610796,-37.8013221,198
"Peking University",116.3065393,39.9939231,191
"Washington University in St Louis",-90.3308854,38.6846489,84
"École Polytechnique",-73.6130801,45.504661,200
"University of Edinburgh",-3.1847238,55.9462691,197
"Hong Kong University of Science and Technology",114.2715461,22.2917485,11
"École Normale Supérieure",-83.8126438,39.7473569,1
"Australian National University",142.389278,-10.890853,NA
"Karolinska Institute",18.0214528,59.3494376,200
"University of Göttingen",9.9374004,51.5408116,50
"University of Wisconsin",-89.4052247,43.0765915,180
"Rice University",-85.6613123,40.1136943,18
"École Polytechnique Fédérale de Lausanne",6.5676007,46.5189865,87
"University of California, Irvine",-117.853022,33.664081,112
"University of Science and Technology of China",117.26217,31.838698,174
"Vanderbilt University",-73.7199435,40.7694536,85
"University of Minnesota",-93.199514,44.9743269,147
"Tufts University",-71.120482,42.4036848,198
"University of California, Davis",-121.7209826,38.5494919,26
"Brown University",-83.9617862,43.514033,15
"University of Massachusetts",-117.3324743,33.9866891,31
"Kyoto University",135.7680294,35.0116363,197
"Tsinghua University",116.3246671,39.9990443,193
"Boston University",-0.1852592,51.4925846,194
"New York University",-106.496973,31.777508,126
"Emory University",-80.627626,28.0658079,50
"LMU Munich",11.582443,48.150942,197
"University of Notre Dame",-86.2377772,41.6973401,80
"University of Pittsburgh",-79.960835,40.4443533,198
"Case Western Reserve University",-81.6083838,41.5043413,81
"Ohio State University",-83.0227103,39.9993865,200
"University of Colorado Boulder",-105.2627072,40.0071656,95
"University of Bristol",-2.6259899,51.4771065,182
"University of California, Santa Cruz",-117.3163115,33.981043,20
"Yeshiva University",111.0957348,33.4442576,NA
"University of Sydney",149.6612155,-30.4730963,NA
"University of Virginia",-93.1147395,44.9494426,133
"University of Adelaide",138.6090143,-34.9103022,200
"University of Southern California",-117.2914463,34.1036186,31
"William & Mary",-77.1485163,37.7372121,NA
"Trinity College Dublin",-6.2576899,53.3454782,193
"King’s College London",-0.0890873,51.4699486,193
"Stony Brook University",-73.1146681,40.9098883,19
"Korea Advanced Institute of Science and Technology (KAIST)",127.3640249,36.3693921,62
"University of Sussex",-0.7756403,50.8443366,53
"The University of Queensland",151.9287869,-27.6061106,9
"University of York",-104.9603049,39.6818471,181
"Heidelberg University",-77.576748,43.1700966,137
"University of Utah",-111.8884532,33.4249307,94
"Durham University",-1.5782029,54.7649859,91
"London School of Economics and Political Science",-0.1173766,51.5144077,195
"University of Manchester",-90.3332427,38.6129798,123
"Royal Holloway, University of London",-0.5630625,51.425673,70
"Lund University",-87.7106499,41.9722799,199
"University of Southampton",-1.3962068,50.9340275,182
"University of Zurich",8.5595886,47.3588302,198
"Wake Forest University",-76.9359658,38.97546,37
"McMaster University",-81.0261039,34.0026819,113
"University College Dublin",-6.2168851,53.305257,194
"George Washington University",-77.0470916,38.8991756,199
"University of Arizona",-82.4530718,28.067177,50
"University of Basel",36.2776484,33.5117629,25
"University of Maryland, College Park",-76.9367935,38.9920364,36
"Dartmouth College",-91.6514459,41.92479,24
"École Normale Supérieure de Lyon",4.829049,45.731469,198
"Technical University of Munich",19.2402603,52.0563394,4
"University of Helsinki",-99.1698567,19.3049111,200
"University of St Andrews",-2.7930852,56.3412112,35
"Rensselaer Polytechnic Institute",-73.6788026,42.730172,47
"Rutgers, the State University of New Jersey",-74.1741891,40.7416983,200
"Purdue University",-87.0541793,40.4533683,1
"National Tsing Hua University",120.99678,24.797079,104
